"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","5.21","631113891.84","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","172.38","99294231411.96","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","3.57","153515315.73","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"EGHT","8x8 Inc","15.19","1583318135.98","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","1.48","35341668.88","n/a","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","53.18","8583955677.76","n/a","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","7.09","552515879.73","n/a","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","19.94","703951012.34","n/a","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","56.75","3810226723.25","n/a","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","26.07","55486600738.14","n/a","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","106.66","188844729693.34","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","89.63","158182003838.98","n/a","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","15.35","957428236.25","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.61","120601483.02","n/a","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","4.85","414228562.35","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","10.09","175889848.64","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.15","109279568.4","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"ASGI","Aberdeen Standard Global Infrastructure Income Fund","19.2","0","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.12","856099711.88","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","38.43","2562785368.29","n/a","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","12.11","1044664802.51","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACEL","Accel Entertainment, Inc.","14.32","1253707064.32","n/a","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACN","Accenture plc","236.82","150802640536.26","n/a","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","6.2","585665311.4","n/a","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","14.62","37733635.2","n/a","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"AYI","Acuity Brands, Inc. ","106.25","4211472262.5","n/a","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","33.55","2492568061.5","n/a","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","16.13","1753062790.36","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","10.69","318330892.89","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"ADCT","ADC Therapeutics SA","45.04","3185041974.08","n/a","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adct",
"AGRO","Adecoagro S.A.","5.01","590335038.45","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ADNT","Adient plc","17.7","1661753543.7","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADT","ADT Inc.","9.17","7064876194.53","n/a","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","26.29","1363828005.87","n/a","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","154.76","10699914961.88","n/a","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","30.25","2745435156.75","n/a","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","59.25","4120626688.5","n/a","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ASIX","AdvanSix Inc.","12.65","354582928.15","n/a","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"AVK","Advent Convertible and Income Fund","13.78","475757559.16","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ACM","AECOM","40.15","6439608272.35","n/a","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEFC","Aegon Funding Company LLC","25.65","0","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","24.82","0","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","2.61","5357150332.2","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AER","Aercap Holdings N.V.","28.37","3678816853.71","n/a","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","39.99","3144064907.22","n/a","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AMG","Affiliated Managers Group, Inc.","68.69","3197731271.27","n/a","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","27.8","0","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","37.62","26819763660.36","n/a","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","2.74","93802806.74","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","14.93","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","14.71","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","14.61","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGCO","AGCO Corporation","76.26","5711602971.96","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","99.6","30707639646","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AEM","Agnico Eagle Mines Limited","84.13","20325964650.06","n/a","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","66.54","3583247669.28","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AL","Air Lease Corporation","32.61","3710330124.66","n/a","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",
"AL^A","Air Lease Corporation","24.37","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",
"APD","Air Products and Chemicals, Inc.","301.98","66705683664.48","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",
"ALP^Q","Alabama Power Company","27.93","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","110.42","1310041651.4","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","9.65","3777308831.55","n/a","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/agi",
"ALK","Alaska Air Group, Inc.","42.15","5211414619.5","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/alk",
"AIN","Albany International Corporation","53.8","1737740000","n/a","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","100.45","10683659995.05","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/alb",
"ACI","Albertsons Companies, Inc.","13.31","6284832701.73","n/a","2020","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/aci",
"AA","Alcoa Corporation","13.45","2500681713.95","n/a","2016","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/aa",
"ALC","Alcon Inc.","59.11","28910701000","n/a","2019","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/alc",
"ALEX","Alexander & Baldwin, Inc.","11.34","820428792.12","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","259.22","1323911713.8","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","162.04","20435605408.92","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/are",
"AQN","Algonquin Power & Utilities Corp.","14.2","8410266063.6","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqn",
"AQNA","Algonquin Power & Utilities Corp.","27.63","0","n/a","2018","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqna",
